route,url,render,meta_source,title,title_len,description,desc_len,h1_count,canonical,indexable,in_sitemap,sitemap_noindex_conflict,og_present,twitter_present,schema_types,word_count,faq_count,inbound_internal_links,outbound_related_links
/sign-in/[[...sign-in]],https://www.editpdfai.com/sign-in/[[...sign-in]],Static,none,,0,,0,unknown,,NO,NO,NO,NO,NO,,,,,
/sign-up/[[...sign-up]],https://www.editpdfai.com/sign-up/[[...sign-up]],Static,none,,0,,0,unknown,,NO,NO,NO,NO,NO,,,,,
/about,https://www.editpdfai.com/about,Static,page.tsx (inline),About EditPDF AI – Our Story and Privacy Approach,49,"EditPDF AI is an independent PDF tool suite built in Australia. Learn who we are, how your files are handled, and why we keep 50+ tools permanently free.",153,1,https://www.editpdfai.com/about,YES,YES,NO,YES,YES,ContactPoint;Organization,,,,
/add-page-numbers,https://www.editpdfai.com/add-page-numbers,Static,layout.tsx,Add Page Numbers to PDF Online Free — Number PDF Pages,54,"Add page numbers to PDFs online for free. Choose the position, font, size, starting number and page range. No installation or signup required.",142,1,https://www.editpdfai.com/add-page-numbers,YES,YES,NO,YES,YES,Offer;WebApplication,414,5,1,5
/ai-pdf-form-filler,https://www.editpdfai.com/ai-pdf-form-filler,Static,layout.tsx,AI PDF Form Filler — Autofill PDF Forms Online,46,"Autofill W-9s, applications and scanned PDF forms with AI. Review, sign and download online. A free account includes five daily AI uses.",136,1,https://www.editpdfai.com/ai-pdf-form-filler,YES,YES,NO,YES,YES,Answer;BreadcrumbList;FAQPage;HowTo;HowToStep;HowToTool;ListItem;Offer;Organization;Question;WebApplication;WebPage,468,5,3,5
/cancel,https://www.editpdfai.com/cancel,Static,layout.tsx,Payment Cancelled — EditPDF AI,30,,0,1,,NO,NO,NO,NO,NO,,,,,
/chat-with-pdf,https://www.editpdfai.com/chat-with-pdf,Static,layout.tsx,Chat with PDF Online - AI Answers with Page Citations,53,"Ask questions about any PDF and get grounded AI answers with verified quotes and page citations. Local text extraction, five free AI questions daily.",149,1,https://www.editpdfai.com/chat-with-pdf,YES,YES,NO,YES,YES,,455,6,2,4
/checkout/confirm,https://www.editpdfai.com/checkout/confirm,Static,layout.tsx,Confirming Payment — EditPDF AI,31,,0,1,,NO,NO,NO,NO,NO,,,,,
/checkout,https://www.editpdfai.com/checkout,Static,layout.tsx,Checkout — EditPDF AI,21,,0,1,,NO,NO,NO,NO,NO,,,,,
/contact,https://www.editpdfai.com/contact,Static,layout.tsx,Contact Us | EditPDF AI,23,"Get in touch with the EditPDF AI team. We're here to help with questions about our PDF tools, billing, or feedback.",115,1,https://www.editpdfai.com/contact,YES,YES,NO,YES,YES,ContactPage;ContactPoint;Organization,,,,
/dashboard,https://www.editpdfai.com/dashboard,Static,layout.tsx,Dashboard — EditPDF AI,22,,0,1,,NO,NO,NO,NO,NO,,,,,
/delete-pages,https://www.editpdfai.com/delete-pages,Static,layout.tsx,Delete PDF Pages Online Free — Remove Pages from PDF,52,"Delete pages from a PDF online for free. Remove individual pages or a page range, then download the cleaned PDF instantly. No signup required.",142,1,https://www.editpdfai.com/delete-pages,YES,YES,NO,YES,YES,Offer;WebApplication,392,5,3,4
/excel-to-pdf,https://www.editpdfai.com/excel-to-pdf,Static,layout.tsx,Excel to PDF Converter Online Free — XLSX to PDF,48,Convert Excel spreadsheets to PDF online for free. Upload XLSX or XLS files and download a perfectly formatted PDF. Preserves tables and data. No signup.,153,1,https://www.editpdfai.com/excel-to-pdf,YES,YES,NO,YES,YES,Offer;WebApplication,385,5,3,4
