url,route_file,page_type,indexable,canonical_correct,rendered_html,page_purpose,search_intent,direct_answer_present,h1_count,structured_data_types,schema_duplicate_issue,internal_links_approx,author_reviewer_shown,last_reviewed_shown,content_uniqueness,brand_consistency,score_discoverability,score_answer_clarity,score_factual_trust,score_content_uniqueness,score_citation_readiness,critical_issues,high_issues,top_issue_summary
/,src/app/page.tsx,homepage,yes,yes,partially-client-gated (tool grid + demo are ssr:false),Marketing homepage introducing 50+ browser PDF/AI tools,Navigational/commercial - free online PDF editor,yes,1,"WebApplication,Organization,WebSite,FAQPage",no,30-80,no,no,unique,mostly consistent (Trustpilot URL mismatch vs footer),80,78,82,95,75,0,0,CSR-gated tool catalogue/demo invisible to non-JS crawlers; stale comment claims a SiteJsonLd component exists in root layout but it does not
/ai-pdf-form-filler,src/app/ai-pdf-form-filler/page.tsx,AI tool,yes,yes,SSR-complete,AI autofill of PDF forms then sign/download,fill out a pdf form automatically,yes,1,"WebApplication,BreadcrumbList,HowTo,WebPage,FAQPage",no,9,no,no,unique,consistent,90,85,88,88,87,0,0,Cleanest page in the whole audit - no issues found
/pdf-editor,src/app/pdf-editor/page.tsx,PDF tool,yes,yes,SSR-complete,Edit PDF text/images/shapes/signatures/pages in-browser,edit a pdf without adobe,yes,1,"WebApplication,FAQPage,BreadcrumbList",no,6-9,no,no,unique,consistent,88,85,90,82,85,0,0,Correct includeSchema=false reference implementation - no issues found
/pdf-viewer,src/app/pdf-viewer/page.tsx,PDF tool,yes,yes,SSR-complete,View/zoom/search a PDF in-browser,view pdf online,yes (not near top),1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,thin (relies on shared template),consistent,80,68,82,60,58,1,0,Duplicate WebApplication+SoftwareApplication JSON-LD on one URL
/pdf-cropper,src/app/pdf-cropper/page.tsx,PDF tool,yes,yes,SSR-complete,Trim margins/whitespace from PDF pages,crop pdf pages,yes (mid-page),1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,thin (relies on shared template),consistent,79,67,80,58,57,1,0,Duplicate WebApplication+SoftwareApplication JSON-LD on one URL
/pdf-ocr,src/app/pdf-ocr/page.tsx,AI tool,yes,yes,SSR-complete,AI OCR to make scanned PDFs searchable,ocr pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,8,no,no,thin,inconsistent (names Claude directly),80,68,68,60,58,1,0,Duplicate schema; unsourced 95-99%/100+ languages claim; names Claude unlike sibling AI pages
/pdf-summarizer,src/app/pdf-summarizer/page.tsx,AI tool,yes,yes,SSR-complete,AI-generated summary of uploaded PDF,summarize pdf with ai,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,7,no,no,thin,consistent,80,68,62,60,55,1,1,Duplicate schema; fabricated Pro unlimited-length claim contradicted by 80000-char server truncation
/chat-with-pdf,src/app/chat-with-pdf/page.tsx,AI tool,yes,yes,SSR-complete,Ask questions about uploaded PDF with cited answers,chat with pdf,yes,1,"FAQPage,BreadcrumbList,SoftwareApplication,HowTo",no,7,no,no,unique (richest bespoke copy),consistent,88,84,92,85,88,0,0,Strongest factual-accuracy page in the audit - no issues found
/mind-map,src/app/mind-map/page.tsx,AI tool,yes,yes,SSR-complete,Turn PDF(s) into AI-generated visual mind map,pdf to mind map,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,6,no,no,thin,inconsistent (names Claude directly),79,66,62,58,54,1,1,Duplicate schema; fabricated Pro any-length claim contradicted by 25000-char server truncation
/pdf-translator,src/app/pdf-translator/page.tsx,AI tool,yes,yes,SSR-complete,AI translation of PDF text preserving layout,translate pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,6,no,no,thin,inconsistent (names Claude directly),81,72,80,60,62,1,0,Duplicate schema; hero names Claude directly unlike sibling AI pages
/quiz-creator,src/app/quiz-creator/page.tsx,AI tool,yes,yes,SSR-complete,Generate quiz from uploaded PDF content,create a quiz from a pdf,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,6,no,no,thin,inconsistent (names Claude 3x),79,66,55,58,50,2,0,Duplicate schema; fabricated Free/Pro question-count tiers that do not exist in the UI or API
/pdf-redactor,src/app/pdf-redactor/page.tsx,PDF tool,yes,yes,SSR-complete,Manually black out sensitive PDF content,redact pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,7,no,no,thin,consistent,79,60,30,58,35,2,0,"MOST SERIOUS FINDING SITE-WIDE: toolSeoData.ts fabricates an AI auto-detection feature that does not exist in the code, served as fact via FAQPage schema on a legal/compliance page"
/pdf-compressor,src/app/pdf-compressor/page.tsx,PDF tool,yes,yes,SSR-complete,Reduce PDF file size via compression levels,compress pdf online free,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,9,no,no,unique,consistent,82,85,70,78,68,1,0,Duplicate WebApplication+SoftwareApplication JSON-LD
/pdf-merger,src/app/pdf-merger/page.tsx,PDF tool,yes,yes,SSR-complete,Combine multiple PDFs into one file,merge pdf files online free,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,7,no,no,unique,consistent,82,85,70,80,68,1,0,Duplicate WebApplication+SoftwareApplication JSON-LD
/pdf-splitter,src/app/pdf-splitter/page.tsx,PDF tool,yes,yes,SSR-complete,Divide PDF into files by range or per-page,split pdf online free,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,6,no,no,unique,consistent,81,83,70,79,67,1,0,Duplicate WebApplication+SoftwareApplication JSON-LD
/pdf-signer,src/app/pdf-signer/page.tsx,PDF tool,yes,yes,SSR-complete,E-sign a PDF (draw/type/upload signature),sign pdf online free,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,unique,consistent,82,84,63,82,62,1,0,Duplicate schema; unsourced eIDAS/ESIGN legal-validity claim with no citation
/pdf-form-builder,src/app/pdf-form-builder/page.tsx,PDF tool,yes,yes,SSR-complete (choice-screen branch),Build fillable AcroForm PDFs,pdf form builder,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,7,no,no,unique,consistent,79,80,38,78,42,2,0,"""100% Private/nothing leaves your device"" badge contradicted by AI Assistant panel calling /api/form-builder-ai; duplicate schema"
/pdf-page-manager,src/app/pdf-page-manager/page.tsx,PDF tool,yes,yes,SSR-complete,All-in-one reorder/rotate/delete/insert pages,reorder pdf pages,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,6,no,no,near-duplicate (overlaps rotate/delete/extract),consistent,80,83,70,64,63,1,0,Duplicate schema; functional cannibalization risk vs 4 sibling page-editing tools
/pdf-annotate,src/app/pdf-annotate/page.tsx,PDF tool,yes,yes,SSR-complete but thin above fold (100vh editor UI),Highlight/comment/draw annotations on a PDF,annotate pdf online,partial (no text above fold),1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,7,no,no,unique concept,consistent (custom dark nav),76,52,68,80,48,1,1,No descriptive text renders above the fullscreen editor UI; H1 is a tiny toolbar label not a real heading; duplicate schema
/rotate-pdf,src/app/rotate-pdf/page.tsx,PDF tool,yes,yes,SSR-complete,Fix page orientation 90/180/270deg,rotate pdf online free,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,near-duplicate (templated cluster),consistent,80,82,70,60,61,1,0,Duplicate schema; near-identical whatIs/FAQ template shared with 4 sibling page-editing pages
/extract-pages,src/app/extract-pages/page.tsx,PDF tool,yes,yes,SSR-complete,Cherry-pick specific pages into new PDF,extract pages from pdf online,yes,1,"WebApplication,FAQPage,BreadcrumbList,SoftwareApplication,HowTo",yes,5,no,no,near-duplicate (templated cluster),consistent,80,82,70,63,63,1,0,Duplicate schema; templated whatIs/FAQ shared across cluster (good splitter-disambiguation FAQ though)
