url,issue_type,severity,description,recommended_fix
/pdf-redactor,unsupported-claim,Critical,"toolSeoData.ts's whatIs/steps/FAQ (and its FAQPage/HowTo JSON-LD) describe an ""AI scanner""/""AI-assisted pattern detection"" that automatically finds names/emails/phones/dates/financial figures. Zero AI/detect/pattern/scanner code or API calls exist anywhere in pdf-redactor/page.tsx - the tool is purely manual click-and-drag. Fabricated capability served as structured fact on a legal/compliance-sensitive page.","Rewrite whatIs/steps/faqs in toolSeoData.ts to describe only the real manual draw-to-redact workflow, or build the described AI detection feature before claiming it."
/pdf-password-lock,contradictory-information,Critical,"toolSeoData.ts FAQ/privacy text and FAQPage JSON-LD state encryption ""runs on our server using qpdf over an HTTPS connection"" and files are ""uploaded securely...deleted afterward"" - but the tool is 100% client-side WebAssembly (qpdf-lock.worker.ts, zero fetch/api calls), directly contradicting the page's own UI copy (""ZERO UPLOAD - ZERO STORAGE""), its layout.tsx JSON-LD, and routes.ts meta description.","Rewrite the pdf-password-lock block in toolSeoData.ts to match the true client-side WebAssembly architecture, mirroring pdf-unlock/pdf-repair's wording."
/pdf-password-lock,unsupported-claim,Medium,"formats.limit chip reads ""No fixed size limit stated - processed on our server over HTTPS"" - same false server-processing claim baked into the visible formats display.",Update formats.limit copy to match the client-side reality once the primary claim above is fixed.
/pdf-password-lock,contradictory-information,High,layout.tsx declares its own WebApplication JSON-LD while ToolSEOSection (default includeSchema=true) also emits SoftwareApplication for the same URL - the same site-wide duplicate-schema pattern found on pdf-viewer/pdf-cropper/pdf-compressor etc.,includeSchema={false} on the ToolSEOSection call or remove the layout.tsx WebApplication block.
/pdf-unlock,contradictory-information,High,layout.tsx WebApplication + ToolSEOSection default SoftwareApplication JSON-LD duplication - same site-wide pattern (an initial audit pass under-flagged this page; corrected here for consistency with pdf-viewer/pdf-cropper/pdf-compressor and others carrying the identical structural bug).,includeSchema={false} on the ToolSEOSection call or remove the layout.tsx WebApplication block.
/pdf-repair,contradictory-information,High,layout.tsx WebApplication + ToolSEOSection default SoftwareApplication JSON-LD duplication - same site-wide pattern (corrected for consistency; see /pdf-unlock note).,includeSchema={false} on the ToolSEOSection call or remove the layout.tsx WebApplication block.
/pdf-flatten,contradictory-information,High,layout.tsx WebApplication + ToolSEOSection default SoftwareApplication JSON-LD duplication - same site-wide pattern (corrected for consistency; see /pdf-unlock note).,includeSchema={false} on the ToolSEOSection call or remove the layout.tsx WebApplication block.
/pdf-watermark,contradictory-information,High,layout.tsx WebApplication + ToolSEOSection default SoftwareApplication JSON-LD duplication - same site-wide pattern (corrected for consistency; see /pdf-unlock note).,includeSchema={false} on the ToolSEOSection call or remove the layout.tsx WebApplication block.
/ppt-to-pdf,contradictory-information,Critical,"Page's own visible sidebar disclaimer says ""Images are omitted; text and tables are preserved,"" directly contradicting on the SAME page: toolSeoData whatIs (""images...preserved exactly""), its own FAQ (""Yes. All images, charts, SmartArt...""), TOOL_METADATA search-snippet description (""Preserves fonts, images and animations""), and layout.tsx WebApplication JSON-LD (""Preserves fonts, images and all slides""). A user reading the Google snippet then the page gets flatly contradictory information.","Correct all four surfaces (toolSeoData whatIs/FAQ, TOOL_METADATA description, layout.tsx JSON-LD) to state images are not converted - text/tables only."
/ppt-to-pdf,unsupported-claim,Critical,"TOOL_METADATA description claims animations are preserved (""Preserves fonts, images and animations""), directly contradicting the page's own FAQ which correctly answers ""No. PDF is a static format"" to the same question.",Remove the animations claim from TOOL_METADATA description.
